date,entry_time,entry_price,exit_time,exit_price,signal,gross_pnl,transaction_cost,net_pnl,cum_pnl,running_max,drawdown
2015-02-23,2015-02-23 09:30:00,8847.7,2015-02-23 15:15:00,8758.1,-1,89.60000000000036,0.10752000000000042,89.49248000000037,324.6753600000004,417.58070000000106,-92.90534000000065
2015-02-24,2015-02-24 09:40:00,8771.8,2015-02-24 15:15:00,8770.4,1,-1.3999999999996362,0.0016799999999995634,-1.4016799999996357,323.27368000000075,417.58070000000106,-94.3070200000003
2015-02-25,2015-02-25 09:30:00,8833.8,2015-02-25 15:15:00,8771.75,1,-62.04999999999927,0.07445999999999912,-62.124459999999274,261.1492200000015,417.58070000000106,-156.43147999999957
2015-02-27,2015-02-27 11:25:00,8748.7,2015-02-27 15:15:00,8852.45,1,103.75,0.12449999999999999,103.6255,364.7747200000015,417.58070000000106,-52.80597999999958
2015-02-28,2015-02-28 09:30:00,8915.1,2015-02-28 15:15:00,8908.8,1,-6.300000000001091,0.007560000000001309,-6.307560000001093,358.4671600000004,417.58070000000106,-59.11354000000068
2015-03-02,2015-03-02 09:35:00,8967.85,2015-03-02 15:15:00,8959.3,1,-8.550000000001091,0.010260000000001308,-8.560260000001092,349.90689999999927,417.58070000000106,-67.67380000000179
2015-03-04,2015-03-04 09:30:00,9065.1,2015-03-04 15:15:00,8919.8,-1,145.3000000000011,0.1743600000000013,145.12564000000108,495.0325400000004,495.0325400000004,0.0
2015-03-05,2015-03-05 15:10:00,8952.05,2015-03-05 15:15:00,8950.0,1,-2.0499999999992724,0.0024599999999991265,-2.0524599999992716,492.9800800000011,495.0325400000004,-2.0524599999992574
2015-03-09,2015-03-09 09:35:00,8811.75,2015-03-09 15:15:00,8758.8,-1,52.95000000000073,0.06354000000000087,52.886460000000724,545.8665400000018,545.8665400000018,0.0
2015-03-10,2015-03-10 10:30:00,8757.85,2015-03-10 15:15:00,8716.6,1,-41.25,0.049499999999999995,-41.2995,504.5670400000018,545.8665400000018,-41.29950000000002
2015-03-11,2015-03-11 10:00:00,8741.05,2015-03-11 15:15:00,8695.15,1,-45.899999999999636,0.05507999999999956,-45.95507999999963,458.61196000000217,545.8665400000018,-87.25457999999963
2015-03-12,2015-03-12 15:05:00,8774.2,2015-03-12 15:15:00,8782.55,1,8.349999999998545,0.010019999999998253,8.339979999998546,466.9519400000007,545.8665400000018,-78.91460000000109
2015-03-17,2015-03-17 09:40:00,8666.8,2015-03-17 15:15:00,8732.0,-1,-65.20000000000073,0.07824000000000086,-65.27824000000072,401.6737,545.8665400000018,-144.1928400000018
